up,RSC,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\example\NewORFIDformat\2020-03-28_RSC_Downstream_20190719,1,2020-03-28
Reader: RSC downstream Site: AAA,RSC,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\example\NewORFIDformat\2020-03-28_RSC_Downstream_20190719,2,2020-03-28
"--------- Upload #4, 567 records ---------",RSC,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\example\NewORFIDformat\2020-03-28_RSC_Downstream_20190719,3,2020-03-28
DTY ARR DUR TCHTTY TAG NCD EMP,RSC,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\example\NewORFIDformat\2020-03-28_RSC_Downstream_20190719,4,2020-03-28
