2019-12-10,09:28:55.35,E 2019-12-10 09:28:55.35 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,54,2020-03-28
2019-12-10,09:28:55.35,E 2019-12-10 09:28:55.35 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,55,2020-03-28
2019-12-10,09:28:55.35,E 2019-12-10 09:28:55.35 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,56,2020-03-28
2019-12-10,09:29:18.07,E 2019-12-10 09:29:18.07 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,57,2020-03-28
2019-12-10,09:29:18.07,E 2019-12-10 09:29:18.07 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,58,2020-03-28
2019-12-10,09:29:18.07,E 2019-12-10 09:29:18.07 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,59,2020-03-28
2019-12-10,09:29:41.37,E 2019-12-10 09:29:41.37 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,60,2020-03-28
2019-12-10,09:29:41.37,E 2019-12-10 09:29:41.37 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,61,2020-03-28
2019-12-10,09:29:41.37,E 2019-12-10 09:29:41.37 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,62,2020-03-28
2019-12-10,09:31:14.73,E 2019-12-10 09:31:14.73 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,63,2020-03-28
2019-12-10,09:31:14.73,E 2019-12-10 09:31:14.73 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,64,2020-03-28
2019-12-10,09:31:14.73,E 2019-12-10 09:31:14.73 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,65,2020-03-28
2019-12-10,09:39:18.23,E 2019-12-10 09:39:18.23 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,66,2020-03-28
2019-12-10,09:39:18.23,E 2019-12-10 09:39:18.23 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,67,2020-03-28
2019-12-10,09:39:18.23,E 2019-12-10 09:39:18.23 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,68,2020-03-28
2019-12-10,09:40:05.12,E 2019-12-10 09:40:05.12 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,69,2020-03-28
2019-12-10,09:40:05.12,E 2019-12-10 09:40:05.12 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,70,2020-03-28
2019-12-10,09:40:05.12,E 2019-12-10 09:40:05.12 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,71,2020-03-28
2019-12-10,09:40:56.54,E 2019-12-10 09:40:56.54 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,72,2020-03-28
2019-12-10,09:40:56.54,E 2019-12-10 09:40:56.54 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,73,2020-03-28
2019-12-10,09:40:56.54,E 2019-12-10 09:40:56.54 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,74,2020-03-28
2019-12-10,09:58:31.93,E 2019-12-10 09:58:31.93 supply power ok 12.5V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,141,2020-03-28
2019-12-10,09:58:31.93,E 2019-12-10 09:58:31.93 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,142,2020-03-28
2019-12-10,09:58:31.93,E 2019-12-10 09:58:31.93 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,143,2020-03-28
2019-12-10,09:59:55.55,E 2019-12-10 09:59:55.55 supply power ok 12.6V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,144,2020-03-28
2019-12-10,09:59:55.55,E 2019-12-10 09:59:55.55 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,145,2020-03-28
2019-12-10,09:59:55.55,E 2019-12-10 09:59:55.55 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_1,146,2020-03-28
2020-01-08,11:25:44.82,E 2020-01-08 11:25:44.82 upload 90 complete,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,6,2020-03-28
2020-01-08,11:38:22.36,E 2020-01-08 11:38:22.36 supply power ok 12.7V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,7,2020-03-28
2020-01-08,11:38:22.36,E 2020-01-08 11:38:22.36 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,8,2020-03-28
2020-01-08,11:38:22.36,E 2020-01-08 11:38:22.36 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,9,2020-03-28
2020-01-08,11:39:36.05,E 2020-01-08 11:39:36.05 supply power ok 12.7V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,10,2020-03-28
2020-01-08,11:39:36.05,E 2020-01-08 11:39:36.05 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,11,2020-03-28
2020-01-08,11:39:36.05,E 2020-01-08 11:39:36.05 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,12,2020-03-28
2020-01-08,11:40:59.37,E 2020-01-08 11:40:59.37 supply power ok 12.8V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,13,2020-03-28
2020-01-08,11:40:59.37,E 2020-01-08 11:40:59.37 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,14,2020-03-28
2020-01-08,11:40:59.37,E 2020-01-08 11:40:59.37 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,15,2020-03-28
2020-01-08,12:46:14.08,E 2020-01-08 12:46:14.08 supply power ok 12.8V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,85,2020-03-28
2020-01-08,12:46:14.08,E 2020-01-08 12:46:14.08 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,86,2020-03-28
2020-01-08,12:46:14.08,E 2020-01-08 12:46:14.08 starting reader after power up,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,87,2020-03-28
2020-01-08,12:48:47.75,E 2020-01-08 12:48:47.75 supply power ok 12.7V,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,97,2020-03-28
2020-01-08,12:48:47.75,E 2020-01-08 12:48:47.75 database file opened,BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\NewFormTest\BGS\archive\2020-03-28_BGS_01082020_2,98,2020-03-28
