BGS,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\example\NewORFIDformat\archive\2020-03-28_BGS_dec3,2020-03-28,10,0,11,0,1,1,0,10,33
RSC,ORFID,C:\Users\HaleyOhms\Documents\GitHub\AntWrangler\example\NewORFIDformat\archive\2020-03-28_RSC_Downstream_20190719,2020-03-28,10,0,0,0,0,1,0,4,15
